microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments
ts-ui-dashboard,frontend,worker_processes,,1,,1;24,1,,,
ts-ui-dashboard,frontend,worker_connections,,1,,512;2048,256,,,
ts-ui-dashboard,frontend,threads,,1,,1;24,1,,,
ts-ui-dashboard,frontend,max_queue,,1,,100;10000,,,,thread queue size
ts-ui-dashboard,frontend,tcp_nodelay,1,1,,on;off,,,,
ts-consign-mongo,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
ts-consign-mongo,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
ts-consign-mongo,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
ts-consign-mongo,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
ts-consign-mongo,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
ts-account-mongo,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
ts-account-mongo,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
ts-account-mongo,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
ts-account-mongo,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
ts-account-mongo,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
ts-food-map-mongo,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
ts-food-map-mongo,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
ts-food-map-mongo,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
ts-food-map-mongo,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
ts-food-map-mongo,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
ts-config-mongo,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
ts-config-mongo,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
ts-config-mongo,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
ts-config-mongo,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
ts-config-mongo,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
ts-security-mongo,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
ts-security-mongo,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
ts-security-mongo,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
ts-security-mongo,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
ts-security-mongo,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
ts-route-mongo,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
ts-route-mongo,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
ts-route-mongo,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
ts-route-mongo,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
ts-route-mongo,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
ts-order-mongo,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
ts-order-mongo,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
