microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments
user-timeline-redis,redis,hz,,1,,1;100,10,,,
user-timeline-redis,redis,zset-max-ziplist-entries,,1,,64;512,64,,,
compose-post-service,service,compose-post-service_io_threads,,1,,1;48,4,,,
compose-post-service,service,compose-post-service_worker_threads,,1,,24; 960,48,,,
home-timeline-service,service,home-timeline-service_io_threads,,1,,1;48,4,,,
home-timeline-service,service,home-timeline-service_worker_threads,,1,,24; 960,48,,,
media-service,service,media-service_io_threads,,1,,1;48,4,,,
media-service,service,media-service_worker_threads,,1,,24; 960,48,,,
post-storage-service,service,post-storage-service_io_threads,,1,,1;48,4,,,
post-storage-service,service,post-storage-service_worker_threads,,1,,24; 960,48,,,
social-graph-service,service,social-graph-service_io_threads,,1,,1;48,4,,,
social-graph-service,service,social-graph-service_worker_threads,,1,,24; 960,48,,,
text-service,service,text-service_io_threads,,1,,1;48,4,,,
text-service,service,text-service_worker_threads,,1,,24; 960,48,,,
unique-id-service,service,unique-id-service_io_threads,,1,,1;48,4,,,
unique-id-service,service,unique-id-service_worker_threads,,1,,24; 960,48,,,
url-shorten-service,service,url-shorten-service_io_threads,,1,,1;48,4,,,
url-shorten-service,service,url-shorten-service_worker_threads,,1,,24; 960,48,,,
user-mention-service,service,user-mention-service_io_threads,,1,,1;48,4,,,
user-mention-service,service,user-mention-service_worker_threads,,1,,24; 960,48,,,
user-service,service,user-service_io_threads,,1,,1;48,4,,,
user-service,service,user-service_worker_threads,,1,,24; 960,48,,,
user-timeline-service,service,user-timeline-service_io_threads,,1,,1;48,4,,,
user-timeline-service,service,user-timeline-service_worker_threads,,1,,24; 960,48,,,
write-home-timeline-service,service,write-home-timeline-service_worker_threads,,1,,1;24,1,,,
